Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
French Polynesia,France,3/23/2020,15,0,0,-17.6797,-149.4068
,Kenya,3/23/2020,15,0,0,-0.0236,37.9062
Gibraltar,United Kingdom,3/23/2020,15,0,2,36.1408,-5.3536
,Barbados,3/23/2020,14,0,0,13.1939,-59.5432
,Cote d'Ivoire,3/23/2020,14,0,1,7.5400,-5.5471
,Kyrgyzstan,3/23/2020,14,0,0,41.2044,74.7661
Grand Princess,Canada,3/23/2020,13,0,0,37.6489,-122.6655
,Maldives,3/23/2020,13,0,0,3.2028,73.2207
,Tanzania,3/23/2020,12,0,0,-6.3690,34.8888
West Virginia,US,3/23/2020,12,0,0,38.4912,-80.9545
,Ethiopia,3/23/2020,11,0,4,9.1450,40.4897
,Mayotte,3/23/2020,11,0,0,-12.8275,45.1662
,Mongolia,3/23/2020,10,0,0,46.8625,103.8467
Aruba,Netherlands,3/23/2020,8,0,0,12.5211,-69.9683
,Guyana,3/23/2020,7,1,0,4.8604,-58.9302
,Seychelles,3/23/2020,7,0,0,-4.6796,55.4920
Newfoundland and Labrador,Canada,3/23/2020,6,0,0,53.1355,-57.6604
,Equatorial Guinea,3/23/2020,6,0,0,1.6508,10.2679
United States Virgin Islands,US,3/23/2020,6,0,0,18.3358,-64.8963
,Gabon,3/23/2020,5,1,0,-0.8037,11.6094
,Suriname,3/23/2020,5,0,0,3.9193,-56.0278
Isle of Man,United Kingdom,3/23/2020,5,0,0,54.2361,-4.5481
,"Bahamas, The",3/23/2020,4,0,0,25.0343,-77.3963
Greenland,Denmark,3/23/2020,4,0,0,71.7069,-42.6043
,Eswatini,3/23/2020,4,0,0,-26.5225,31.4659
New Caledonia,France,3/23/2020,4,0,0,-20.9043,165.6180
St Martin,France,3/23/2020,4,0,0,18.0708,-63.0501
Northern Territory,Australia,3/23/2020,3,0,0,-12.4634,130.8456
,Cabo Verde,3/23/2020,3,0,0,16.5388,-23.0418
,Central African Republic,3/23/2020,3,0,0,6.6111,20.9394
,Congo (Brazzaville),3/23/2020,3,0,0,-0.2280,15.8277
,El Salvador,3/23/2020,3,0,0,13.7942,-88.8965
Saint Barthelemy,France,3/23/2020,3,0,0,17.9000,-62.8333
,Liberia,3/23/2020,3,0,0,6.4281,-9.4295
,Madagascar,3/23/2020,3,0,0,-18.7669,46.8691
,Namibia,3/23/2020,3,0,0,-22.9576,18.4904
